This file was produced by the Exoplanet Follow-up Observing Program website (exofop.ipac.caltech.edu) on Wed Aug 18 23:51:48 2021

"TIC ID","TOI","CTOI","Master priority","SG1A priority","SG1B priority","SG2 priority","SG3 priority","SG4 priority","SG5 priority","ACWG ESM","ACWG TSM","Time Series Observations","Spectroscopy Observations","Imaging Observations","TESS Disposition","TFOPWG Disposition","TESS mag","TESS mag error","Pipeline Signal ID","Source","RA (deg)","Dec (deg)","PM RA (mas/yr)","PM RA error","PM Dec (mas/yr)","PM Dec error","Transit Epoch (BJD)","Transit Epoch error","Period (days)","Period error","Duration (hours)","Duration error","Depth (mmag)","Depth (mmag) error","Depth (ppm)","Depth (ppm) error","Planet Radius (R_Earth)","Planet Radius error","Planet Insolation (Earth flux)","Planet Eq Temp (K)","Planet SNR","Stellar Distance (pc)","Stellar Distance error","Stellar Teff (K)","Stellar Teff error","Stellar log(g) (cm/s2)","Stellar log(g) error","Stellar Radius (R_Sun)","Stellar Radius error","Stellar Metallicity","Stellar Metallicity error","Sectors","Comments","Date TOI Alerted (by TESS Project)","Date TOI Updated (by TESS Project)","Date Modified (by ExoFOP-TESS)"
"15565627","1316.01","","5","5","5","5","5","5","5","17.4","52.6","2","2","4","PC","FP","10.3332","0.021","1","qlp","307.016647","39.87713","-5.507","0.044","-13.746","0.044","2458684.06072","0.00539","3.80509","0.00058","3.347","0.645","1.390633","0.002418","1280","2.2275","8.57193","0.655497","1214.11","1644","16","434.962","5.073","6555.5","142","3.83","0.1","2.35","0.15","0.067","0.012","14,15","Slight aperture depth correlation","2019-10-17","2020-05-20","2021-06-01"
"165523947","1317.01","","5","5","5","5","5","5","5","24.3","118.7","2","2","4","PC","FP","10.2918","0.016","1","qlp","316.813885","40.167172","-0.481","0.039","-3.616","0.037","2458711.85776","0.00738","2.99041","0.00173","3.952","0.445","1.401504","0.655103","1290","603.19","24.2511","9.66611","54264.3","4252","11","697.116","12.704","8542","204.7","3.66","0.08","3.56","0.12","","","15","","2019-10-17","2020-05-20","2021-06-01"
"167092385","1318.01","","3","4","3","3","2","4","4","12.4","59.3","0","1","2","PC","PC","10.151","0.018","1","qlp","318.724623","38.094232","4.6","1.6","3.1","1.7","2458712.03961","0.00541","4.99024","0.00217","2.059","0.327","1.510223","0.006709","1390","6.17909","","","","","9","343.728","","","","","","","","","","15","","2019-10-17","2020-05-20","2021-06-01"
"167098530","1319.01","","5","5","5","5","5","5","5","28.9","179.4","3","2","0","PC","FP","9.3213","0.006","1","qlp","318.627107","40.017017","51.963","0.043","77.173","0.047","2458712.796631","0.00352","1.78411","0.00041","1.806","0.146","1.679999","0.001623","1546.140015","1.49508","3.8132","0.179529","505.432007","1320","19","73.6326","0.1672","5159.200195","91.400002","4.5","0.08","0.88","0.03","","","15","Potential L1 candidate","2019-10-17","2019-12-17","2021-06-01"
"89020549","132.01","","2","5","5","2","4","4","4","9.3","55.9","12","2","5","PC","CP","10.8061","0.006","1","qlp","338.399662","-43.436872","35.553","0.043","-53.055","0.054","2458326.93345","0.00562","2.10366","0.00002","2.638","0.474","1.129753","0.001772","1040","1.63213","3.02825","0.215204","1079.31","1596","18","163.678","0.987","5673","188","4.55383","0.4189","0.94","0.05","","","1,28","Confirmed planet TOI-132 b","2018-09-05","2020-11-12","2021-06-01"
"167403519","1320.01","","3","4","3","3","4","4","4","58.9","161.8","3","3","4","PC","PC","10.334","0.038","1","qlp","319.32501","38.104855","-4.5","1.6","-15","1.6","2458713.01541","0.00185","3.97122","0.00077","4.037","0.566","6.654198","0.007035","6110","6.47936","","","","","35","340.289","","","","","","","","","","15","","2019-10-17","2020-05-20","2021-06-01"
"195199644","1321.01","","5","5","5","5","5","5","5","47.6","64","1","2","5","PC","FP","10.0849","0.015","1","qlp","313.536475","37.789356","1.71","0.039","-0.348","0.049","2458712.259766","0.0023","1.19888","0.00025","1.558","0.206","1.270001","0.002043","1169.030029","1.88168","20.5525","1.59543","3694.959961","2172","17","1139.32","36.615","7315","243.800003","","","5.46","0.36","","","15","Large and slight depth-aperture correlation","2019-10-17","2019-12-17","2021-06-01"
"240450679","1322.01","","5","5","5","5","1","5","5","77.2","164.9","0","1","0","PC","APC","10.0819","0.01","1","qlp","323.527361","46.931774","1.396","0.063","-3.34","0.066","2458711.449707","0.00104","3.37644","0.00031","1.437","0.263","6.305993","0.014758","5791.200195","13.5921","","","1059.26001","1589","33","713.725","18.6495","8639.700195","475.700012","3.96","0.07","","","","","15","TFOP FP","2019-10-17","2019-12-17","2021-06-01"
"256886630","1323.01","","5","5","5","5","5","5","5","16.5","99","0","1","4","PC","FP","8.26618","0.006","1","qlp","329.385067","41.449509","8.026","0.049","-0.029","0.053","2458713.20059","0.00597","2.03905","0.00116","2.26","0.948","0.466967","0.011479","430","10.5726","6.42307","0.974662","26394.8","3550","11","301.421","3.148","9003","188.7","3.94","0.07","2.68","0.07","","","15,16","","2019-10-17","2020-05-20","2021-06-01"
"266688542","1324.01","","3","4","3","3","3","4","4","17.8","58.5","0","0","2","PC","PC","10.1894","0.008","1","qlp","321.02381","46.384673","-11.834","0.052","-15.942","0.05","2458712.0403","0.00738","2.94527","0.00186","2.549","0.484","1.347148","0.004038","1240","3.71925","5.72314","0.447889","1321.05","1679","22","339.736","3.9305","6854","347.9","4.1","0.1","1.79","0.07","","","15,16","","2019-10-17","2020-05-20","2021-06-01"
"274942910","1325.01","","5","5","5","5","5","5","5","17.6","115.1","1","0","0","PC","FP","9.9809","0.006","1","qlp","322.92657","41.797465","172.202","0.042","108.043","0.047","2458711.996216","0.00483","1.07922","0.00042","2.393","0.239","1.02","0.00201","939.013977","1.85104","2.27684","0.15601","1258.650024","1659","15","52.4946","0.0719","4349.299805","114.099998","4.62","0.1","0.68","0.04","","","15","Slight depth-aperture correlation but scatter also increased; potential L1 candidate","2019-10-17","2019-12-17","2021-06-01"
"275111900","1326.01","","5","5","5","5","2","5","5","41.8","291.9","0","1","2","PC","APC","8.6746","0.006","1","qlp","323.206851","39.072196","-6.9","1.6","-8.4","1.7","2458714.017578","0.00118","8.04169","0.00089","5.191","0.307","4.760004","0.0015","4374.529785","1.38143","","","3604.879883","2158","79","285.587","","8286","179","","","","","","","15","Period could be 2x","2019-10-17","2019-12-17","2021-06-20"
"312083267","1327.01","","3","4","3","3","4","4","4","42.3","62.6","1","2","4","PC","PC","8.38189","0.006","1","qlp","303.295223","36.725485","0.684","0.059","-0.593","0.061","2458686.69431","0.00191","3.93958","0.0003","1.948","0.422","1.238445","0.002405","1140","2.21494","15.8197","0.850206","2097.12","1885","28","457.792","7.786","8715","408","3.55","0.08","4.12","0.13","","","14,15","Likely synchronized and somewhat V shaped","2019-10-17","2020-05-20","2021-06-01"
"330332501","1328.01","","3","4","3","3","4","4","4","11.2","41.9","0","3","4","PC","PC","10.3599","0.03","1","qlp","315.110366","46.060449","-8.94","0.052","-23.17","0.044","2458715.45035","0.00569","4.01677","0.00096","2.679","0.499","1.010204","0.002756","930","2.53827","6.47219","0.464065","669.61","1417","10","397.905","4.9305","6585","233.8","3.94","0.09","2.07","0.09","","","15,16","","2019-10-17","2020-05-20","2021-06-01"
"345996087","1329.01","","5","5","5","5","5","5","5","52.4","86.2","2","2","4","PC","FP","10.2835","0.006","1","qlp","327.480039","44.08006","-8.622","0.045","-16.864","0.047","2458712.723267","0.00808","2.01976","0.00179","3.394","0.614","4.312248","0.560708","3963.850098","516.297974","7.3626","0.517527","5926.689941","2444","12","398.627","4.673","7274.600098","109.699997","4.18","0.08","1.72","0.05","","","15","","2019-10-17","2019-12-17","2021-06-01"
"219338557","133.01","","2","4","4","2","3","4","4","3.9","61.1","7","8","1","PC","PC","9.9762","0.006","1","spoc","354.397374","-58.955078","196.638","0.043","-102.545","0.044","2458327.283567","0.001443","8.199227","0.000033","2.229889","0.272466","1.103077","0.075356","1015.455819","69.40332","2.20435","0.640908","26.236633","577.22718","11.55123","48.6326","0.06345","4028","170","4.55902","0.201108","0.650533","0.0559","","","1,28","TFOP work in progress.","2018-09-05","2021-07-01","2021-07-13"
